ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached.on.Time_Y.N;Late_or_ontime;Customer_satisfaction;Customer_segmentation;Weight_category
1;D;Flight;4;2;177;3;low;Female;44;1233;1;Late;Dissatisfied;Occasional;Light weight
2;E;Flight;4;5;216;2;low;Male;59;3088;1;Late;Satisfied;Occasional;Medium weight
3;A;Flight;2;2;183;4;low;Male;48;3374;1;Late;Dissatisfied;Regular;Medium weight
4;B;Flight;3;3;176;4;medium;Male;10;1177;1;Late;Neutral;Regular;Light weight
5;C;Flight;2;2;184;3;medium;Female;46;2484;1;Late;Dissatisfied;Occasional;Light weight
6;E;Flight;3;1;162;3;medium;Female;12;1417;1;Late;Dissatisfied;Occasional;Light weight
7;D;Flight;3;4;250;3;low;Female;3;2371;1;Late;Satisfied;Occasional;Light weight
8;E;Flight;4;1;233;2;low;Female;48;2804;1;Late;Dissatisfied;Occasional;Light weight
9;A;Flight;3;4;150;3;low;Female;11;1861;1;Late;Satisfied;Occasional;Light weight
10;B;Flight;3;2;164;3;medium;Female;29;1187;1;Late;Dissatisfied;Occasional;Light weight
11;C;Flight;3;4;189;2;medium;Male;12;2888;1;Late;Satisfied;Occasional;Light weight
12;E;Flight;4;5;232;3;medium;Female;32;3253;1;Late;Satisfied;Occasional;Medium weight
13;D;Flight;3;5;198;3;medium;Female;1;3667;1;Late;Satisfied;Occasional;Medium weight
14;E;Flight;4;4;275;3;high;Male;29;2602;1;Late;Satisfied;Occasional;Light weight
15;A;Flight;4;3;152;3;low;Male;43;1009;1;Late;Neutral;Occasional;Light weight
16;B;Flight;4;3;227;3;low;Female;45;2707;1;Late;Neutral;Occasional;Light weight
17;C;Flight;3;4;143;2;medium;Female;6;1194;1;Late;Satisfied;Occasional;Light weight
18;E;Ship;5;5;227;3;medium;Male;36;3952;1;Late;Satisfied;Occasional;Medium weight
19;D;Ship;5;5;239;3;high;Male;18;2495;1;Late;Satisfied;Occasional;Light weight
20;E;Ship;4;5;145;3;medium;Male;45;1059;1;Late;Satisfied;Occasional;Light weight
21;A;Ship;3;3;161;2;medium;Female;38;1521;1;Late;Neutral;Occasional;Light weight
22;B;Ship;3;1;232;4;medium;Female;51;2899;1;Late;Dissatisfied;Regular;Light weight
23;C;Ship;2;5;156;2;low;Male;2;1750;1;Late;Satisfied;Occasional;Light weight
24;E;Ship;4;3;211;3;high;Male;12;3922;1;Late;Neutral;Occasional;Medium weight
25;D;Ship;4;5;251;2;medium;Female;28;3561;1;Late;Satisfied;Occasional;Medium weight
26;E;Ship;3;1;225;4;low;Male;29;3496;1;Late;Dissatisfied;Regular;Medium weight
27;A;Ship;4;1;172;3;high;Female;24;1066;1;Late;Dissatisfied;Occasional;Light weight
28;B;Ship;5;1;162;3;medium;Male;31;1435;1;Late;Dissatisfied;Occasional;Light weight
29;C;Ship;2;3;234;4;low;Male;44;3134;1;Late;Neutral;Regular;Medium weight
30;E;Ship;5;4;183;2;low;Female;36;3819;1;Late;Satisfied;Occasional;Medium weight
31;D;Ship;3;4;266;2;medium;Female;38;2741;1;Late;Satisfied;Occasional;Light weight
32;E;Ship;5;3;257;2;low;Female;61;3341;1;Late;Neutral;Occasional;Medium weight
33;A;Ship;3;1;223;3;low;Female;22;3795;1;Late;Dissatisfied;Occasional;Medium weight
34;B;Ship;4;2;234;3;medium;Male;4;3261;1;Late;Dissatisfied;Occasional;Medium weight
35;C;Ship;4;2;227;4;medium;Female;22;2460;1;Late;Dissatisfied;Regular;Light weight
36;E;Ship;5;4;149;3;medium;Female;44;1811;1;Late;Satisfied;Occasional;Light weight
37;D;Ship;3;5;137;4;high;Female;62;1477;1;Late;Satisfied;Regular;Light weight
38;E;Ship;2;4;181;6;medium;Female;16;3605;1;Late;Satisfied;Regular;Medium weight
39;A;Ship;5;1;215;4;low;Female;56;3905;1;Late;Dissatisfied;Regular;Medium weight
40;B;Ship;4;2;269;5;low;Female;45;2383;1;Late;Dissatisfied;Regular;Light weight
41;C;Ship;5;1;227;2;low;Male;15;3798;1;Late;Dissatisfied;Occasional;Medium weight
42;E;Ship;5;5;139;4;medium;Male;61;1265;1;Late;Satisfied;Regular;Light weight
43;D;Ship;3;5;137;2;medium;Male;38;1647;1;Late;Satisfied;Occasional;Light weight
44;E;Ship;3;1;174;2;low;Male;44;1556;1;Late;Dissatisfied;Occasional;Light weight
45;A;Ship;3;1;151;2;low;Male;29;1328;1;Late;Dissatisfied;Occasional;Light weight
46;B;Ship;5;1;210;3;low;Female;9;2944;1;Late;Dissatisfied;Occasional;Light weight
47;C;Ship;3;4;169;4;medium;Female;32;1245;1;Late;Satisfied;Regular;Light weight
48;E;Ship;5;1;160;2;low;Male;32;1576;1;Late;Dissatisfied;Occasional;Light weight
49;D;Ship;5;4;190;2;medium;Male;9;3753;1;Late;Satisfied;Occasional;Medium weight
50;E;Ship;5;3;216;3;low;Female;40;2146;1;Late;Neutral;Occasional;Light weight
51;A;Ship;4;1;183;3;low;Male;37;2042;1;Late;Dissatisfied;Occasional;Light weight
52;B;Ship;4;4;141;3;low;Male;22;1735;1;Late;Satisfied;Occasional;Light weight
53;C;Ship;4;3;165;3;low;Female;44;1320;1;Late;Neutral;Occasional;Light weight
54;E;Ship;2;1;170;3;low;Male;41;1128;1;Late;Dissatisfied;Occasional;Light weight
55;D;Ship;4;3;203;3;high;Male;12;3539;1;Late;Neutral;Occasional;Medium weight
56;E;Ship;2;5;246;5;low;Male;46;2437;1;Late;Satisfied;Regular;Light weight
57;A;Ship;3;3;238;3;low;Female;61;3096;1;Late;Neutral;Occasional;Medium weight
58;B;Ship;3;3;193;3;medium;Female;29;3453;1;Late;Neutral;Occasional;Medium weight
59;C;Ship;5;5;141;3;high;Male;41;1367;1;Late;Satisfied;Occasional;Light weight
60;E;Ship;4;1;150;3;high;Female;17;1923;1;Late;Dissatisfied;Occasional;Light weight
61;D;Ship;3;1;221;3;low;Female;64;2794;1;Late;Dissatisfied;Occasional;Light weight
62;E;Ship;3;3;179;3;medium;Male;52;1158;1;Late;Neutral;Occasional;Light weight
63;A;Ship;5;1;105;6;medium;Male;62;1292;1;Late;Dissatisfied;Regular;Light weight
64;B;Ship;3;1;177;3;medium;Male;61;1880;1;Late;Dissatisfied;Occasional;Light weight
65;C;Ship;4;5;261;2;high;Male;49;3045;1;Late;Satisfied;Occasional;Medium weight
66;E;Ship;3;2;202;3;low;Male;49;2881;1;Late;Dissatisfied;Occasional;Light weight
67;D;Ship;3;2;109;3;medium;Female;15;1710;1;Late;Dissatisfied;Occasional;Light weight
68;E;Ship;3;3;158;3;low;Female;6;1878;1;Late;Neutral;Occasional;Light weight
69;A;Ship;4;2;231;4;medium;Female;6;2512;1;Late;Dissatisfied;Regular;Light weight
70;B;Ship;3;5;206;3;medium;Male;39;2929;1;Late;Satisfied;Occasional;Light weight
71;C;Ship;5;1;187;4;high;Male;14;3849;1;Late;Dissatisfied;Regular;Medium weight
72;E;Ship;5;5;230;2;low;Female;2;2229;1;Late;Satisfied;Occasional;Light weight
73;D;Ship;5;5;232;3;medium;Female;33;2998;1;Late;Satisfied;Occasional;Light weight
74;E;Ship;4;5;215;3;medium;Female;21;3984;1;Late;Satisfied;Occasional;Medium weight
75;A;Ship;6;1;238;6;low;Female;13;2442;1;Late;Dissatisfied;Regular;Light weight
